Assembled_VSG_188	Cluster 0
Assembled_VSG_49667	Cluster 5352
Assembled_VSG_12440	Cluster 5352
Assembled_VSG_47889	Cluster 5352
Assembled_VSG_49732	Cluster 5352
Assembled_VSG_49737	Cluster 5352
Assembled_VSG_12514	Cluster 5352
Assembled_VSG_12517	Cluster 5352
Assembled_VSG_12518	Cluster 5352
Assembled_VSG_12531	Cluster 5352
Assembled_VSG_71147	Cluster 5352
Assembled_VSG_12391	Cluster 5353
Assembled_VSG_12668	Cluster 5354
Assembled_VSG_77549	Cluster 5354
Assembled_VSG_12932	Cluster 5355
Assembled_VSG_59033	Cluster 5355
Assembled_VSG_15929	Cluster 5355
Assembled_VSG_12930	Cluster 5356
Assembled_VSG_12554	Cluster 5357
Assembled_VSG_12555	Cluster 5358
Assembled_VSG_12761	Cluster 5359
Assembled_VSG_12940	Cluster 5360
Assembled_VSG_12557	Cluster 5361
Assembled_VSG_14263	Cluster 5361
Assembled_VSG_31867	Cluster 5361
Assembled_VSG_12763	Cluster 5362
Assembled_VSG_12762	Cluster 5362
Assembled_VSG_12764	Cluster 5362
Assembled_VSG_12559	Cluster 5363
Assembled_VSG_75311	Cluster 5363
Assembled_VSG_12560	Cluster 5364
Assembled_VSG_12935	Cluster 5365
Assembled_VSG_12936	Cluster 5365
Assembled_VSG_12564	Cluster 5366
Assembled_VSG_12933	Cluster 5367
Assembled_VSG_44741	Cluster 5367
Assembled_VSG_12934	Cluster 5368
Assembled_VSG_12561	Cluster 5369
Assembled_VSG_12562	Cluster 5370
Assembled_VSG_61515	Cluster 5370
Assembled_VSG_12563	Cluster 5371
Assembled_VSG_13543	Cluster 5371
Assembled_VSG_12573	Cluster 5372
Assembled_VSG_15344	Cluster 5372
Assembled_VSG_37408	Cluster 5372
Assembled_VSG_75810	Cluster 5373
Assembled_VSG_12568	Cluster 5373
Assembled_VSG_12671	Cluster 5374
Assembled_VSG_12670	Cluster 5374
Assembled_VSG_12571	Cluster 5375
Assembled_VSG_45742	Cluster 5375
Assembled_VSG_12570	Cluster 5376
Assembled_VSG_12572	Cluster 5377
Assembled_VSG_64996	Cluster 5377
Assembled_VSG_45743	Cluster 5378
Assembled_VSG_12565	Cluster 5378
Assembled_VSG_12569	Cluster 5379
Assembled_VSG_12674	Cluster 5380
Assembled_VSG_12675	Cluster 5381
Assembled_VSG_12765	Cluster 5382
Assembled_VSG_12768	Cluster 5382
Assembled_VSG_63592	Cluster 5382
Assembled_VSG_12966	Cluster 5383
Assembled_VSG_12690	Cluster 5384
Assembled_VSG_12970	Cluster 5384
Assembled_VSG_13191	Cluster 5384
Assembled_VSG_19345	Cluster 5384
Assembled_VSG_66196	Cluster 5384
Assembled_VSG_12968	Cluster 5385
Assembled_VSG_12679	Cluster 5385
Assembled_VSG_13188	Cluster 5386
Assembled_VSG_12973	Cluster 5386
Assembled_VSG_12585	Cluster 5387
Assembled_VSG_12589	Cluster 5387
Assembled_VSG_12594	Cluster 5387
Assembled_VSG_16062	Cluster 5387
Assembled_VSG_39397	Cluster 5388
Assembled_VSG_12776	Cluster 5388
Assembled_VSG_12967	Cluster 5389
Assembled_VSG_54230	Cluster 5389
Assembled_VSG_12969	Cluster 5390
Assembled_VSG_45839	Cluster 5390
Assembled_VSG_13192	Cluster 5390
Assembled_VSG_12586	Cluster 5391
Assembled_VSG_12588	Cluster 5391
Assembled_VSG_12683	Cluster 5392
Assembled_VSG_12684	Cluster 5393
Assembled_VSG_12777	Cluster 5394
Assembled_VSG_12976	Cluster 5394
Assembled_VSG_12682	Cluster 5395
Assembled_VSG_12686	Cluster 5395
Assembled_VSG_12975	Cluster 5396
Assembled_VSG_35389	Cluster 5396
Assembled_VSG_12977	Cluster 5396
Assembled_VSG_12978	Cluster 5396
Assembled_VSG_12687	Cluster 5397
Assembled_VSG_12685	Cluster 5397
Assembled_VSG_12688	Cluster 5397
Assembled_VSG_21083	Cluster 5397
Assembled_VSG_21085	Cluster 5397
Assembled_VSG_12681	Cluster 5398
Assembled_VSG_12680	Cluster 5398
Assembled_VSG_12979	Cluster 5399
Assembled_VSG_12974	Cluster 5399
Assembled_VSG_12689	Cluster 5400
Assembled_VSG_48960	Cluster 5400
Assembled_VSG_28379	Cluster 5400
Assembled_VSG_12988	Cluster 5401
Assembled_VSG_12986	Cluster 5401
Assembled_VSG_12985	Cluster 5401
Assembled_VSG_12987	Cluster 5401
Assembled_VSG_12984	Cluster 5402
Assembled_VSG_44540	Cluster 5403
Assembled_VSG_13892	Cluster 5403
Assembled_VSG_12983	Cluster 5403
Assembled_VSG_12989	Cluster 5403
Assembled_VSG_12982	Cluster 5403
Assembled_VSG_13001	Cluster 5403
Assembled_VSG_13002	Cluster 5403
Assembled_VSG_12990	Cluster 5403
Assembled_VSG_12993	Cluster 5403
Assembled_VSG_12994	Cluster 5403
Assembled_VSG_23327	Cluster 5404
Assembled_VSG_23324	Cluster 5404
Assembled_VSG_23332	Cluster 5404
Assembled_VSG_23331	Cluster 5404
Assembled_VSG_23334	Cluster 5404
Assembled_VSG_12980	Cluster 5404
Assembled_VSG_56051	Cluster 5404
Assembled_VSG_12981	Cluster 5404
Assembled_VSG_37303	Cluster 5404
Assembled_VSG_12778	Cluster 5405
Assembled_VSG_12699	Cluster 5406
Assembled_VSG_12695	Cluster 5406
Assembled_VSG_12992	Cluster 5407
Assembled_VSG_12997	Cluster 5407
Assembled_VSG_57546	Cluster 5407
Assembled_VSG_12991	Cluster 5407
Assembled_VSG_12996	Cluster 5408
Assembled_VSG_67762	Cluster 5408
Assembled_VSG_17447	Cluster 5409
Assembled_VSG_62818	Cluster 5409
Assembled_VSG_73894	Cluster 5409
Assembled_VSG_37774	Cluster 5409
Assembled_VSG_37768	Cluster 5409
Assembled_VSG_12697	Cluster 5409
Assembled_VSG_12781	Cluster 5410
Assembled_VSG_18563	Cluster 5411
Assembled_VSG_13087	Cluster 5411
Assembled_VSG_13086	Cluster 5411
Assembled_VSG_18472	Cluster 5411
Assembled_VSG_12995	Cluster 5411
Assembled_VSG_75865	Cluster 5412
Assembled_VSG_12780	Cluster 5412
Assembled_VSG_12779	Cluster 5413
Assembled_VSG_12422	Cluster 5414
Assembled_VSG_12806	Cluster 5415
Assembled_VSG_40364	Cluster 5415
Assembled_VSG_12808	Cluster 5416
Assembled_VSG_12810	Cluster 5417
Assembled_VSG_12811	Cluster 5418
Assembled_VSG_40504	Cluster 5419
Assembled_VSG_12428	Cluster 5419
Assembled_VSG_12429	Cluster 5420
Assembled_VSG_12609	Cluster 5421
Assembled_VSG_12706	Cluster 5422
Assembled_VSG_59782	Cluster 5422
Assembled_VSG_12812	Cluster 5423
Assembled_VSG_12610	Cluster 5424
Assembled_VSG_12707	Cluster 5425
Assembled_VSG_49652	Cluster 5426
Assembled_VSG_49675	Cluster 5426
Assembled_VSG_12431	Cluster 5426
Assembled_VSG_12432	Cluster 5426
Assembled_VSG_49706	Cluster 5426
Assembled_VSG_49711	Cluster 5426
Assembled_VSG_23269	Cluster 5426
Assembled_VSG_12473	Cluster 5426
Assembled_VSG_12474	Cluster 5426
Assembled_VSG_23270	Cluster 5426
Assembled_VSG_49731	Cluster 5426
Assembled_VSG_49734	Cluster 5426
Assembled_VSG_49735	Cluster 5426
Assembled_VSG_49749	Cluster 5426
Assembled_VSG_49750	Cluster 5426
Assembled_VSG_12481	Cluster 5426
Assembled_VSG_49768	Cluster 5426
Assembled_VSG_12483	Cluster 5426
Assembled_VSG_12485	Cluster 5426
Assembled_VSG_12493	Cluster 5426
Assembled_VSG_49806	Cluster 5426
Assembled_VSG_49825	Cluster 5426
Assembled_VSG_49843	Cluster 5426
Assembled_VSG_12708	Cluster 5427
Assembled_VSG_18486	Cluster 5427
Assembled_VSG_26454	Cluster 5427
Assembled_VSG_12446	Cluster 5428
Assembled_VSG_12447	Cluster 5428
Assembled_VSG_13265	Cluster 5428
Assembled_VSG_12818	Cluster 5429
Assembled_VSG_12615	Cluster 5430
Assembled_VSG_12448	Cluster 5431
Assembled_VSG_12709	Cluster 5432
Assembled_VSG_12710	Cluster 5432
Assembled_VSG_12821	Cluster 5433
Assembled_VSG_12822	Cluster 5434
Assembled_VSG_12823	Cluster 5435
Assembled_VSG_12824	Cluster 5436
Assembled_VSG_12712	Cluster 5437
Assembled_VSG_12827	Cluster 5438
Assembled_VSG_12829	Cluster 5439
Assembled_VSG_12830	Cluster 5440
Assembled_VSG_12616	Cluster 5441
Assembled_VSG_21580	Cluster 5441
Assembled_VSG_21582	Cluster 5441
Assembled_VSG_12617	Cluster 5441
Assembled_VSG_21265	Cluster 5441
Assembled_VSG_12832	Cluster 5442
Assembled_VSG_30034	Cluster 5442
Assembled_VSG_30035	Cluster 5442
Assembled_VSG_21264	Cluster 5443
Assembled_VSG_12618	Cluster 5443
Assembled_VSG_12714	Cluster 5444
Assembled_VSG_12715	Cluster 5444
Assembled_VSG_12716	Cluster 5445
Assembled_VSG_12620	Cluster 5446
Assembled_VSG_12456	Cluster 5447
Assembled_VSG_12839	Cluster 5448
Assembled_VSG_12458	Cluster 5449
Assembled_VSG_12459	Cluster 5450
Assembled_VSG_69485	Cluster 5450
Assembled_VSG_12841	Cluster 5451
Assembled_VSG_12848	Cluster 5451
Assembled_VSG_43421	Cluster 5452
Assembled_VSG_41090	Cluster 5452
Assembled_VSG_12719	Cluster 5452
Assembled_VSG_15014	Cluster 5452
Assembled_VSG_31717	Cluster 5453
Assembled_VSG_12720	Cluster 5453
Assembled_VSG_12721	Cluster 5454
Assembled_VSG_12621	Cluster 5455
Assembled_VSG_13028	Cluster 5455
Assembled_VSG_12463	Cluster 5456
Assembled_VSG_12466	Cluster 5456
Assembled_VSG_51264	Cluster 5456
Assembled_VSG_12464	Cluster 5457
Assembled_VSG_13741	Cluster 5457
Assembled_VSG_22866	Cluster 5458
Assembled_VSG_23083	Cluster 5458
Assembled_VSG_16884	Cluster 5458
Assembled_VSG_23080	Cluster 5458
Assembled_VSG_23078	Cluster 5458
Assembled_VSG_26860	Cluster 5458
Assembled_VSG_23094	Cluster 5458
Assembled_VSG_26868	Cluster 5458
Assembled_VSG_26867	Cluster 5458
Assembled_VSG_23100	Cluster 5458
Assembled_VSG_36781	Cluster 5458
Assembled_VSG_32521	Cluster 5458
Assembled_VSG_22931	Cluster 5458
Assembled_VSG_12622	Cluster 5458
Assembled_VSG_31963	Cluster 5458
Assembled_VSG_19122	Cluster 5458
Assembled_VSG_22932	Cluster 5458
Assembled_VSG_12465	Cluster 5459
Assembled_VSG_12467	Cluster 5460
Assembled_VSG_51265	Cluster 5460
Assembled_VSG_12623	Cluster 5461
Assembled_VSG_59061	Cluster 5462
Assembled_VSG_12624	Cluster 5462
Assembled_VSG_53788	Cluster 5462
Assembled_VSG_51266	Cluster 5463
Assembled_VSG_12468	Cluster 5463
Assembled_VSG_12722	Cluster 5464
Assembled_VSG_12626	Cluster 5465
Assembled_VSG_12627	Cluster 5465
Assembled_VSG_12629	Cluster 5465
Assembled_VSG_12471	Cluster 5466
Assembled_VSG_12628	Cluster 5467
Assembled_VSG_12865	Cluster 5468
Assembled_VSG_33301	Cluster 5468
Assembled_VSG_20123	Cluster 5468
Assembled_VSG_20465	Cluster 5468
Assembled_VSG_48980	Cluster 5468
Assembled_VSG_18613	Cluster 5469
Assembled_VSG_18609	Cluster 5469
Assembled_VSG_18598	Cluster 5469
Assembled_VSG_21092	Cluster 5469
Assembled_VSG_25674	Cluster 5469
Assembled_VSG_18856	Cluster 5469
Assembled_VSG_19055	Cluster 5469
Assembled_VSG_18953	Cluster 5469
Assembled_VSG_52880	Cluster 5469
Assembled_VSG_19069	Cluster 5469
Assembled_VSG_18949	Cluster 5469
Assembled_VSG_20544	Cluster 5469
Assembled_VSG_19080	Cluster 5469
Assembled_VSG_39120	Cluster 5469
Assembled_VSG_18643	Cluster 5469
Assembled_VSG_20555	Cluster 5469
Assembled_VSG_39128	Cluster 5469
Assembled_VSG_18648	Cluster 5469
Assembled_VSG_18883	Cluster 5469
Assembled_VSG_14603	Cluster 5469
Assembled_VSG_15025	Cluster 5469
Assembled_VSG_14455	Cluster 5469
Assembled_VSG_15026	Cluster 5469
Assembled_VSG_15201	Cluster 5469
Assembled_VSG_52952	Cluster 5469
Assembled_VSG_14456	Cluster 5469
Assembled_VSG_12882	Cluster 5469
Assembled_VSG_14623	Cluster 5469
Assembled_VSG_14912	Cluster 5469
Assembled_VSG_52960	Cluster 5469
Assembled_VSG_39187	Cluster 5469
Assembled_VSG_39188	Cluster 5469
Assembled_VSG_52963	Cluster 5469
Assembled_VSG_25760	Cluster 5469
Assembled_VSG_14925	Cluster 5469
Assembled_VSG_16247	Cluster 5469
Assembled_VSG_14050	Cluster 5469
Assembled_VSG_14467	Cluster 5469
Assembled_VSG_15029	Cluster 5469
Assembled_VSG_39193	Cluster 5469
Assembled_VSG_14469	Cluster 5469
Assembled_VSG_15030	Cluster 5469
Assembled_VSG_14673	Cluster 5469
Assembled_VSG_15032	Cluster 5469
Assembled_VSG_14472	Cluster 5469
Assembled_VSG_14473	Cluster 5469
Assembled_VSG_14474	Cluster 5469
Assembled_VSG_15271	Cluster 5469
Assembled_VSG_15440	Cluster 5469
Assembled_VSG_25781	Cluster 5469
Assembled_VSG_25782	Cluster 5469
Assembled_VSG_25783	Cluster 5469
Assembled_VSG_15040	Cluster 5469
Assembled_VSG_14698	Cluster 5469
Assembled_VSG_14943	Cluster 5469
Assembled_VSG_53008	Cluster 5469
Assembled_VSG_14485	Cluster 5469
Assembled_VSG_14489	Cluster 5469
Assembled_VSG_16587	Cluster 5469
Assembled_VSG_14744	Cluster 5469
Assembled_VSG_14499	Cluster 5469
Assembled_VSG_18243	Cluster 5469
Assembled_VSG_17001	Cluster 5469
Assembled_VSG_14949	Cluster 5469
Assembled_VSG_12727	Cluster 5470
Assembled_VSG_12885	Cluster 5471
Assembled_VSG_12639	Cluster 5472
Assembled_VSG_75204	Cluster 5473
Assembled_VSG_12640	Cluster 5473
Assembled_VSG_12641	Cluster 5474
Assembled_VSG_41113	Cluster 5474
Assembled_VSG_12528	Cluster 5474
Assembled_VSG_12486	Cluster 5475
Assembled_VSG_12487	Cluster 5475
Assembled_VSG_12495	Cluster 5475
Assembled_VSG_16417	Cluster 5476
Assembled_VSG_17575	Cluster 5476
Assembled_VSG_12890	Cluster 5476
Assembled_VSG_12918	Cluster 5476
Assembled_VSG_28638	Cluster 5477
Assembled_VSG_69207	Cluster 5477
Assembled_VSG_47876	Cluster 5477
Assembled_VSG_32066	Cluster 5477
Assembled_VSG_32553	Cluster 5477
Assembled_VSG_12489	Cluster 5477
Assembled_VSG_12526	Cluster 5477
Assembled_VSG_74055	Cluster 5477
Assembled_VSG_61544	Cluster 5478
Assembled_VSG_12490	Cluster 5478
Assembled_VSG_12491	Cluster 5479
Assembled_VSG_14368	Cluster 5480
Assembled_VSG_62527	Cluster 5480
Assembled_VSG_12492	Cluster 5480
Assembled_VSG_64207	Cluster 5480
Assembled_VSG_32340	Cluster 5480
Assembled_VSG_62865	Cluster 5480
Assembled_VSG_61139	Cluster 5480
Assembled_VSG_61140	Cluster 5480
Assembled_VSG_62129	Cluster 5480
Assembled_VSG_62131	Cluster 5480
Assembled_VSG_12895	Cluster 5481
Assembled_VSG_12896	Cluster 5481
Assembled_VSG_20538	Cluster 5482
Assembled_VSG_60472	Cluster 5482
Assembled_VSG_60487	Cluster 5482
Assembled_VSG_60402	Cluster 5482
Assembled_VSG_12496	Cluster 5482
Assembled_VSG_12519	Cluster 5482
Assembled_VSG_16413	Cluster 5483
Assembled_VSG_16429	Cluster 5483
Assembled_VSG_17193	Cluster 5483
Assembled_VSG_12736	Cluster 5483
Assembled_VSG_12922	Cluster 5483
Assembled_VSG_12737	Cluster 5484
Assembled_VSG_12738	Cluster 5484
Assembled_VSG_76685	Cluster 5484
Assembled_VSG_12505	Cluster 5485
Assembled_VSG_12898	Cluster 5486
Assembled_VSG_12742	Cluster 5487
Assembled_VSG_46982	Cluster 5487
Assembled_VSG_12744	Cluster 5488
Assembled_VSG_12745	Cluster 5488
Assembled_VSG_27593	Cluster 5489
Assembled_VSG_27703	Cluster 5489
Assembled_VSG_12900	Cluster 5489
Assembled_VSG_47309	Cluster 5490
Assembled_VSG_12647	Cluster 5490
Assembled_VSG_12650	Cluster 5491
Assembled_VSG_61589	Cluster 5492
Assembled_VSG_64561	Cluster 5492
Assembled_VSG_12748	Cluster 5492
Assembled_VSG_70643	Cluster 5493
Assembled_VSG_12653	Cluster 5493
Assembled_VSG_46992	Cluster 5493
Assembled_VSG_16423	Cluster 5494
Assembled_VSG_16528	Cluster 5494
Assembled_VSG_15900	Cluster 5494
Assembled_VSG_15505	Cluster 5494
Assembled_VSG_16028	Cluster 5494
Assembled_VSG_16027	Cluster 5494
Assembled_VSG_17139	Cluster 5494
Assembled_VSG_16034	Cluster 5494
Assembled_VSG_16035	Cluster 5494
Assembled_VSG_16156	Cluster 5494
Assembled_VSG_16152	Cluster 5494
Assembled_VSG_17589	Cluster 5494
Assembled_VSG_51171	Cluster 5494
Assembled_VSG_13955	Cluster 5494
Assembled_VSG_12654	Cluster 5494
Assembled_VSG_12910	Cluster 5495
Assembled_VSG_51174	Cluster 5496
Assembled_VSG_12911	Cluster 5496
Assembled_VSG_40776	Cluster 5497
Assembled_VSG_12655	Cluster 5497
Assembled_VSG_12656	Cluster 5497
Assembled_VSG_12657	Cluster 5498
Assembled_VSG_12660	Cluster 5498
Assembled_VSG_12658	Cluster 5499
Assembled_VSG_12659	Cluster 5499
Assembled_VSG_52990	Cluster 5500
Assembled_VSG_54984	Cluster 5500
Assembled_VSG_12751	Cluster 5500
Assembled_VSG_52533	Cluster 5500
Assembled_VSG_12753	Cluster 5501
Assembled_VSG_12754	Cluster 5502
Assembled_VSG_23669	Cluster 5503
Assembled_VSG_12537	Cluster 5503
Assembled_VSG_74058	Cluster 5503
Assembled_VSG_30457	Cluster 5504
Assembled_VSG_12538	Cluster 5504
Assembled_VSG_14393	Cluster 5504
Assembled_VSG_12755	Cluster 5505
Assembled_VSG_12756	Cluster 5505
Assembled_VSG_12542	Cluster 5506
Assembled_VSG_12925	Cluster 5507
Assembled_VSG_12546	Cluster 5508
Assembled_VSG_26724	Cluster 5509
Assembled_VSG_16061	Cluster 5509
Assembled_VSG_12547	Cluster 5509
Assembled_VSG_23308	Cluster 5509
Assembled_VSG_12926	Cluster 5510
Assembled_VSG_17423	Cluster 5511
Assembled_VSG_12927	Cluster 5511
Assembled_VSG_73160	Cluster 5512
Assembled_VSG_12759	Cluster 5512
Assembled_VSG_12550	Cluster 5513
Assembled_VSG_12667	Cluster 5514
Assembled_VSG_70342	Cluster 5515
Assembled_VSG_12928	Cluster 5515
Assembled_VSG_12760	Cluster 5515
Assembled_VSG_12575	Cluster 5516
Assembled_VSG_12576	Cluster 5517
Assembled_VSG_12579	Cluster 5517
Assembled_VSG_20149	Cluster 5518
Assembled_VSG_20156	Cluster 5518
Assembled_VSG_23997	Cluster 5518
Assembled_VSG_12769	Cluster 5518
Assembled_VSG_20148	Cluster 5519
Assembled_VSG_20154	Cluster 5519
Assembled_VSG_12770	Cluster 5519
Assembled_VSG_12771	Cluster 5519
Assembled_VSG_12944	Cluster 5520
Assembled_VSG_12950	Cluster 5520
Assembled_VSG_12945	Cluster 5521
Assembled_VSG_12946	Cluster 5522
Assembled_VSG_26810	Cluster 5523
Assembled_VSG_36339	Cluster 5523
Assembled_VSG_58063	Cluster 5523
Assembled_VSG_12677	Cluster 5523
Assembled_VSG_12947	Cluster 5524
Assembled_VSG_12951	Cluster 5524
Assembled_VSG_73296	Cluster 5525
Assembled_VSG_12948	Cluster 5525
Assembled_VSG_12949	Cluster 5525
Assembled_VSG_12953	Cluster 5525
Assembled_VSG_12678	Cluster 5526
Assembled_VSG_51473	Cluster 5526
Assembled_VSG_12773	Cluster 5527
Assembled_VSG_22179	Cluster 5528
Assembled_VSG_12774	Cluster 5528
Assembled_VSG_12578	Cluster 5529
Assembled_VSG_75843	Cluster 5529
Assembled_VSG_26022	Cluster 5530
Assembled_VSG_59681	Cluster 5530
Assembled_VSG_59630	Cluster 5530
Assembled_VSG_59643	Cluster 5530
Assembled_VSG_15352	Cluster 5530
Assembled_VSG_12580	Cluster 5530
Assembled_VSG_26156	Cluster 5531
Assembled_VSG_26155	Cluster 5531
Assembled_VSG_59688	Cluster 5531
Assembled_VSG_12581	Cluster 5531
Assembled_VSG_12955	Cluster 5532
Assembled_VSG_33436	Cluster 5532
Assembled_VSG_12956	Cluster 5533
Assembled_VSG_12582	Cluster 5534
Assembled_VSG_71727	Cluster 5534
Assembled_VSG_22567	Cluster 5535
Assembled_VSG_12960	Cluster 5535
Assembled_VSG_13185	Cluster 5535
Assembled_VSG_12962	Cluster 5535
Assembled_VSG_12583	Cluster 5536
Assembled_VSG_12794	Cluster 5537
Assembled_VSG_61481	Cluster 5537
Assembled_VSG_47872	Cluster 5538
Assembled_VSG_13223	Cluster 5538
Assembled_VSG_12791	Cluster 5539
Assembled_VSG_12790	Cluster 5540
Assembled_VSG_37787	Cluster 5541
Assembled_VSG_37988	Cluster 5541
Assembled_VSG_12782	Cluster 5541
Assembled_VSG_12783	Cluster 5541
Assembled_VSG_12814	Cluster 5541
Assembled_VSG_13233	Cluster 5541
Assembled_VSG_13236	Cluster 5541
Assembled_VSG_13235	Cluster 5541
Assembled_VSG_13239	Cluster 5541
Assembled_VSG_13241	Cluster 5541
Assembled_VSG_12815	Cluster 5541
Assembled_VSG_13315	Cluster 5541
Assembled_VSG_13316	Cluster 5541
Assembled_VSG_12875	Cluster 5541
Assembled_VSG_13330	Cluster 5541
Assembled_VSG_12879	Cluster 5541
Assembled_VSG_12880	Cluster 5541
Assembled_VSG_45693	Cluster 5541
Assembled_VSG_12901	Cluster 5541
Assembled_VSG_36410	Cluster 5541
Assembled_VSG_13210	Cluster 5542
Assembled_VSG_36461	Cluster 5542
Assembled_VSG_13526	Cluster 5543
Assembled_VSG_13094	Cluster 5543
Assembled_VSG_13525	Cluster 5543
Assembled_VSG_13097	Cluster 5543
Assembled_VSG_12876	Cluster 5544
Assembled_VSG_20099	Cluster 5544
Assembled_VSG_12803	Cluster 5545
Assembled_VSG_36016	Cluster 5546
Assembled_VSG_13104	Cluster 5546
Assembled_VSG_14114	Cluster 5546
Assembled_VSG_12905	Cluster 5547
Assembled_VSG_12899	Cluster 5547
Assembled_VSG_18082	Cluster 5548
Assembled_VSG_17966	Cluster 5548
Assembled_VSG_18358	Cluster 5548
Assembled_VSG_18357	Cluster 5548
Assembled_VSG_13212	Cluster 5548
Assembled_VSG_17815	Cluster 5548
Assembled_VSG_22333	Cluster 5548
Assembled_VSG_18119	Cluster 5548
Assembled_VSG_18118	Cluster 5548
Assembled_VSG_16647	Cluster 5548
Assembled_VSG_18124	Cluster 5548
Assembled_VSG_18130	Cluster 5548
Assembled_VSG_13228	Cluster 5549
Assembled_VSG_13642	Cluster 5549
Assembled_VSG_13435	Cluster 5550
Assembled_VSG_13439	Cluster 5550
Assembled_VSG_20432	Cluster 5550
Assembled_VSG_13065	Cluster 5551
Assembled_VSG_13068	Cluster 5551
Assembled_VSG_53532	Cluster 5551
Assembled_VSG_13069	Cluster 5552
Assembled_VSG_13430	Cluster 5553
Assembled_VSG_12931	Cluster 5554
Assembled_VSG_12820	Cluster 5554
Assembled_VSG_13163	Cluster 5555
Assembled_VSG_13164	Cluster 5555
Assembled_VSG_12938	Cluster 5556
Assembled_VSG_13458	Cluster 5557
Assembled_VSG_31609	Cluster 5558
Assembled_VSG_13167	Cluster 5558
Assembled_VSG_30966	Cluster 5558
Assembled_VSG_17766	Cluster 5558
Assembled_VSG_17944	Cluster 5558
Assembled_VSG_13179	Cluster 5559
Assembled_VSG_42771	Cluster 5559
Assembled_VSG_49332	Cluster 5560
Assembled_VSG_13453	Cluster 5560
Assembled_VSG_49330	Cluster 5560
Assembled_VSG_49331	Cluster 5560
Assembled_VSG_13454	Cluster 5560
Assembled_VSG_13446	Cluster 5560
Assembled_VSG_13448	Cluster 5560
Assembled_VSG_13166	Cluster 5561
Assembled_VSG_67316	Cluster 5562
Assembled_VSG_13447	Cluster 5562
Assembled_VSG_13449	Cluster 5563
Assembled_VSG_13165	Cluster 5564
Assembled_VSG_13181	Cluster 5565
Assembled_VSG_13457	Cluster 5566
Assembled_VSG_74157	Cluster 5566
Assembled_VSG_13071	Cluster 5567
Assembled_VSG_70367	Cluster 5567
Assembled_VSG_44191	Cluster 5567
Assembled_VSG_12961	Cluster 5568
Assembled_VSG_44015	Cluster 5568
Assembled_VSG_13072	Cluster 5569
Assembled_VSG_37401	Cluster 5570
Assembled_VSG_12939	Cluster 5570
Assembled_VSG_13076	Cluster 5571
Assembled_VSG_13171	Cluster 5572
Assembled_VSG_13481	Cluster 5573
Assembled_VSG_42909	Cluster 5573
Assembled_VSG_13172	Cluster 5574
Assembled_VSG_13174	Cluster 5575
Assembled_VSG_13173	Cluster 5575
Assembled_VSG_13077	Cluster 5576
Assembled_VSG_13075	Cluster 5576
Assembled_VSG_16000	Cluster 5577
Assembled_VSG_13175	Cluster 5577
Assembled_VSG_25504	Cluster 5578
Assembled_VSG_48931	Cluster 5578
Assembled_VSG_18045	Cluster 5578
Assembled_VSG_15805	Cluster 5578
Assembled_VSG_32977	Cluster 5578
Assembled_VSG_14802	Cluster 5578
Assembled_VSG_14801	Cluster 5578
Assembled_VSG_12942	Cluster 5578
Assembled_VSG_15752	Cluster 5578
Assembled_VSG_13083	Cluster 5579
Assembled_VSG_13084	Cluster 5579
Assembled_VSG_13082	Cluster 5579
Assembled_VSG_12971	Cluster 5580
Assembled_VSG_12972	Cluster 5580
Assembled_VSG_27968	Cluster 5580
Assembled_VSG_27970	Cluster 5580
Assembled_VSG_28924	Cluster 5580
Assembled_VSG_16388	Cluster 5581
Assembled_VSG_13081	Cluster 5581
Assembled_VSG_14321	Cluster 5581
Assembled_VSG_16183	Cluster 5581
Assembled_VSG_36928	Cluster 5581
Assembled_VSG_13085	Cluster 5582
Assembled_VSG_13190	Cluster 5583
Assembled_VSG_13193	Cluster 5584
Assembled_VSG_28503	Cluster 5584
Assembled_VSG_17040	Cluster 5584
Assembled_VSG_13523	Cluster 5585
Assembled_VSG_44850	Cluster 5585
Assembled_VSG_13522	Cluster 5585
Assembled_VSG_13089	Cluster 5586
Assembled_VSG_13088	Cluster 5586
Assembled_VSG_28363	Cluster 5587
Assembled_VSG_12999	Cluster 5587
Assembled_VSG_12998	Cluster 5588
Assembled_VSG_23329	Cluster 5589
Assembled_VSG_13198	Cluster 5589
Assembled_VSG_13197	Cluster 5589
Assembled_VSG_13195	Cluster 5589
Assembled_VSG_13196	Cluster 5589
Assembled_VSG_56236	Cluster 5590
Assembled_VSG_34301	Cluster 5590
Assembled_VSG_20090	Cluster 5590
Assembled_VSG_13524	Cluster 5590
Assembled_VSG_13091	Cluster 5591
Assembled_VSG_70173	Cluster 5592
Assembled_VSG_70211	Cluster 5592
Assembled_VSG_13194	Cluster 5592
Assembled_VSG_13012	Cluster 5593
Assembled_VSG_17150	Cluster 5593
Assembled_VSG_46806	Cluster 5593
Assembled_VSG_62560	Cluster 5593
Assembled_VSG_47559	Cluster 5593
Assembled_VSG_13242	Cluster 5594
Assembled_VSG_14118	Cluster 5594
Assembled_VSG_14333	Cluster 5594
Assembled_VSG_14119	Cluster 5595
Assembled_VSG_12805	Cluster 5595
Assembled_VSG_12809	Cluster 5595
Assembled_VSG_12807	Cluster 5596
Assembled_VSG_13105	Cluster 5597
Assembled_VSG_13106	Cluster 5597
Assembled_VSG_62546	Cluster 5598
Assembled_VSG_13243	Cluster 5598
Assembled_VSG_46604	Cluster 5598
